年度,日期,片名中文,英文片名,國家,評分,Wiki,IMDb_ID,豆瓣ID,HackMD_ID,Google,Wiki,IMDb,豆瓣,Note,人物標籤,主題標籤,Remark
2021,2021-09-02,犬山記,The Power of The Dog,英,9,犬山記,tt10293406,33437152,J6Cu0tYrSN6fl3Er1TmbuQ,Google,Wiki,IMDb,豆瓣,Note,@@珍·康萍 @班奈狄克·康柏拜區,!奧斯卡最佳導演(94) #性別,
2021,2021-09-02,天才貓奴畫家,The Electrical Life of Louis Wain,英,6,天才貓奴畫家,tt10687506,34663377,qxiTp2YTSNWYOPYakb-cAA,Google,Wiki,IMDb,豆瓣,Note,@班奈狄克·康柏拜區,#傳記,
2021,2021-09-02,情聖西哈諾,Cyrano,美,7,情聖西哈諾,tt12889404,35210635,GLOUNX0VQxOUd_8N9pVfBA,Google,Wiki,IMDb,豆瓣,Note,@喬·萊特,#音樂歌舞,
2021,2021-09-02,失去的女兒,The Lost Daughter,美,6,暗处的女儿,tt9100054,30344474,wn6BT_kiSx6kbc6BJNc-Aw,Google,Wiki,IMDb,豆瓣,Note,,,
2021,2021-09-02,上帝之手,The Hand of God,義大利,5,上帝之手_(2021年电影),tt12680684,35134764,8PmbpWTST3m1p13MSaNMbQ,Google,Wiki,IMDb,豆瓣,Note,,,
2021,2021-09-01,平行母親,Madres Paralelas,西班牙,9,平行母亲,tt12618926,35123985,cw3xt59oRG-0nQPrDS_79g,Google,Wiki,IMDb,豆瓣,Note,@@佩卓·阿莫多瓦,#性別,
2021,2021-08-23,餐廳失控夜,Boiling Point,英,7,,tt11127680,34981294,ZGoXKAfOQiizWLjmbEYWUg,Google,x,IMDb,豆瓣,Note,,,
2021,2021-08-20,指考風暴,The Exam,伊拉克,7,,tt14463426,35400639,QVMARIxGR6eNHGfOnEGEKA,Google,x,IMDb,豆瓣,Note,,,
2021,2021-08-16,尚氣與十環傳奇,Shang-Chi and the Legend of the Ten Rings,美,7,尚氣與十環傳奇,tt9376612,30394797,,Google,Wiki,IMDb,豆瓣,x,@梁朝偉 @楊紫瓊,!漫威第四階段,
2021,2021-08-10,脫稿玩家,Free Guy,美,8,脫稿玩家,tt6264654,30337388,YifNH_BISuK6Ns2gZKryBQ,Google,Wiki,IMDb,豆瓣,Note,@萊恩·雷諾斯 @查寧·塔圖,,
2021,2021-08-06,天坑,Sinkhole,韓,6,天坑_(電影),tt12664618,33446375,BVQ2_Mx8TLa5cs1g9CCM0g,Google,Wiki,IMDb,豆瓣,Note,,,
2021,2021-08-06,電影之神,It's a Flickering Life,日本,7,,tt15254730,34963486,,Google,x,IMDb,豆瓣,x,,#時空穿越 #電影,
2021,2021-07-28,逃出摩加迪休,Escape From Mogadishu,韓,9,逃出摩加迪休,tt14810692,33457594,EespRfssQzqaG5zR6G-pgA,Google,Wiki,IMDb,豆瓣,Note,,#戰爭(索馬利亞內戰),
2021,2021-07-23,血色天劫,Blood Red Sky,德,5,,tt6402468,27179288,lxkIlG9HRt60CBjscO84Fw,Google,x,IMDb,豆瓣,Note,,#恐怖片,
2021,2021-07-16,時代革命,Revolution of Our Times,香港,8,時代革命_(紀錄片),tt15049118,,MfQ0ehodTCO6OlGr722BGw,Google,Wiki,IMDb,x,Note,,#記錄片 #反送中,
2021,2021-07-15,密弒遊戲2：勝者危亡,Escape Room: Tournament of Champions,美,6,密弒遊戲2：勝者危亡,tt9844522,30469922,,Google,Wiki,IMDb,豆瓣,x,,,
2021,2021-07-15,龍與雀斑公主,Belle,日本,7,龍與雀斑公主,tt13651628,35287908,,Google,Wiki,IMDb,豆瓣,x,@@細田守,#動畫,
2021,2021-07-14,薩滿,Rang Song,泰,6,灵媒_(2021年泰国电影),tt13446168,35208823,,Google,Wiki,IMDb,豆瓣,x,,#恐怖片,
2021,2021-07-13,我不是英雄,A Hero,伊朗,9,一个英雄,tt11777738,34966906,nNIbukL_Rvq8eM0M5Hfjmw,Google,Wiki,IMDb,豆瓣,Note,,,
2021,2021-07-13,鈦,Titane,法,7,钛_(电影),tt10944760,34820925,5fFwf56KSCqAWsq8Y-koQA,Google,Wiki,IMDb,豆瓣,Note,,,
2021,2021-07-13,羊懼,Lamb,冰島,7,羊·崽,tt9812474,33450810,tYCdquavTiy2UPbHaem18Q,Google,Wiki,IMDb,豆瓣,Note,,,
2021,2021-07-12,法蘭西特派週報,The French Dispatch,美,9,法蘭西特派週報,tt8847712,30300279,OxPowQS_TCOtLFzjmK_cVg,Google,Wiki,IMDb,豆瓣,Note,@@魏斯·安德森 @歐文·威爾森 @提摩西·夏勒梅 @艾德華·諾頓,,
2021,2021-07-11,詭扯,Treat or Trick,台,6,詭扯,tt15445440,35206186,fQ2G7BOuTm22qXD5hX6YOg,Google,Wiki,IMDb,豆瓣,Note,@陳意涵,,
2021,2021-07-11,在車上,Drive My Car,日本,8,驾驶我的车,tt14039582,35235502,3aKPOpbwQEaPH5TG-7imXg,Google,Wiki,IMDb,豆瓣,Note,,#手語,
2021,2021-07-10,邂逅在六號車廂,Compartment No. 6,芬蘭,6,六号包厢_(电影),tt10262648,34927643,D3fQvGSySkSK3V1NkP_kDQ,Google,Wiki,IMDb,豆瓣,Note,,,
2021,2021-07-08,月老,Till We Meet Again,台,8,月老_(電影),tt15456878,35312401,6X1sbjkrQh2YCOd4gV2J0A,Google,Wiki,IMDb,豆瓣,Note,@王淨 @宋芸樺,#時空穿越,
2021,2021-07-08,愛你讓我自由,Great Freedom,奧地利,7,,tt14775784,35477174,jGZYwzuXQuezgWZ52Xp3wg,Google,x,IMDb,豆瓣,Note,,#性別,
2021,2021-07-08,世界上最爛的人,The Worst Person in The World,挪威,6,世界上最糟糕的人,tt10370710,34447553,0Bdl45aTRPO5OBPO5-qcNw,Google,Wiki,IMDb,豆瓣,Note,,,
2021,2021-07-07,天堂計劃,Everything Went Fine,法,8,,tt12847812,35190036,Q5Y56ys3TKqQjCOaGuADUQ,Google,x,IMDb,豆瓣,Note,,#疾病 #死亡,
2021,2021-07-06,ANNETTE：星夢戀歌,Annette,法,5,安妮特_(電影),tt6217926,26856202,jMxNigxFSm2nokr3D6Am_w,Google,Wiki,IMDb,豆瓣,Note,@亞當·崔佛,#音樂歌舞,
2021,2021-06-30,黑寡婦,Black Widow,美,6,黑寡婦_(電影),tt3480822,25828589,FNIpPQ4FSQK5HjVRnMZq4g,Google,Wiki,IMDb,豆瓣,Note,@史嘉蕾·喬韓森,!漫威第四階段,
2021,2021-06-25,疾凍救援,The Ice Road,美,6,疾凍救援,tt3758814,34802334,,Google,Wiki,IMDb,豆瓣,x,@連恩·尼遜,,
2021,2021-06-23,311：東京大震盪,Tokyo Shaking,法,6,,tt11450972,34966150,G-9k66G_Qq2Mq3YWSYFhjw,Google,x,IMDb,豆瓣,Note,,#地震,
2021,2021-06-17,路卡的夏天,Luca,美,9,路卡的夏天,tt12801262,35161768,FiNOrhDgSqGpe4xECDOYtw,Google,Wiki,IMDb,豆瓣,Note,,#動畫 !皮克斯(24),
2021,2021-06-12,殺手寓言：殺手不殺人,THE FABLE: The Killer Who Doesn’t Kill,日本,6,,tt13017204,35184151,FI00gGJcRW6s_ZA8Uf9RCQ,Google,x,IMDb,豆瓣,Note,,,
2021,2021-06-11,魔仿犯,Character,日本,7,角色_(2021年电影),tt14118266,35280911,,Google,Wiki,IMDb,豆瓣,x,,,
2021,2021-06-03,濁水漂流,Drifting,香港,6,濁水漂流,tt13887128,30359468,DbCX3ovGQxC1LO2WMuCrEg,Google,Wiki,IMDb,豆瓣,Note,,,
2021,2021-05-26,霹靂油俠,Pipeline,韓,7,,tt14716932,34777781,,Google,x,IMDb,豆瓣,x,,,
2021,2021-05-20,噤界 2,A Quiet Place Part II,美,8,噤界II,tt8332922,30206311,ib63-mmgRfiY6-ciJzMoLg,Google,Wiki,IMDb,豆瓣,Note,,#手語 #恐怖片,
2021,2021-05-18,時尚惡女：庫伊拉,Cruella,美,8,時尚惡女：庫伊拉,tt3228774,26703121,EdNmAjDsR1CALZT7KQYuwQ,Google,Wiki,IMDb,豆瓣,Note,@艾瑪·史東,,
2021,2021-04-16,聽見歌 再唱,Listen before you sing,台,10,聽見歌_再唱,tt15448352,30359474,,Google,Wiki,IMDb,豆瓣,x,,,
2021,2021-04-16,名偵探柯南：緋色的彈丸,Detective Conan: The Scarlet Bullet,日本,7,名偵探柯南：緋色的彈丸,tt12093860,33454993,,Google,Wiki,IMDb,豆瓣,x,,#動畫 !名偵探柯南(24),
2021,2021-04-01,老闆衝殺小,My Boss is a Serial Killer,泰,6,我的老板是连环杀手,tt15846874,35424713,,Google,Wiki,IMDb,豆瓣,x,,,
2021,2021-04-01,當男人戀愛時,Man In Love,台,7,當男人戀愛時_(電影),tt14428606,35198827,,Google,Wiki,IMDb,豆瓣,x,,,
2021,2021-03-31,無人之境,Shades of the Heart,韓,4,無人之境,tt14425000,30453053,ohtIBDMjTVy1ebhsX-vaDw,Google,Wiki,IMDb,豆瓣,Note,,,
2021,2021-03-31,茲山魚譜,The Book of Fish,韓,8,茲山魚譜,tt14371900,30409439,ZTV2GGkbS0KKK7XYpYqmhw,Google,Wiki,IMDb,豆瓣,Note,,#黑白片 #黑白色彩轉換,
2021,2021-03-24,哥吉拉大戰金剛,Godzilla vs. Kong,美,5,哥吉拉大戰金剛,tt5034838,26613692,YdSa0xdNSRaaAguo3hn17g,Google,Wiki,IMDb,豆瓣,Note,,,
2021,2021-03-19,嬌妻出沒注意,Okusawa wa toriatsukai chûi,日本,6,,tt11477842,27112384,,Google,x,IMDb,豆瓣,x,,,
2021,2021-03-05,黑盒線索,Boîte noire,法,7,,tt10341034,34953719,P9j-KQC8S9CKABWpVuLvDA,Google,x,IMDb,豆瓣,Note,,,
2021,2021-02-18,較量 (誤殺) 2,Drishyam 2,印度,6,,tt12361178,35310153,BtsM7djYTdeCDZutZcI1Tg,Google,x,IMDb,豆瓣,Note,,,
2021,2021-02-12,你好，李煥英,"Hi, Mom",中,8,你好，李焕英,tt13364790,34841067,7GHZ6bSOR8S9yIWv22375w,Google,Wiki,IMDb,豆瓣,Note,,#時空穿越 #黑白色彩轉換,
2021,2021-02-11,沒說出口的殺人告白,First Love,日本,7,,tt11252688,34905613,wyo0owRuSuKRSLT-euxkOA,Google,x,IMDb,豆瓣,Note,,,
2021,2021-02-05,勝利號,Seungriho,韓,6,勝利號,tt12838766,30428359,_x_rcr6kSgCbmBprDaWfMg,Google,Wiki,IMDb,豆瓣,Note,,,
2021,2021-02-05,角頭-浪流連,GATAO - The Last Stray,台,7,角頭－浪流連,tt14720502,34850589,06TeROA9SqOsPkHchXIYFA,Google,Wiki,IMDb,豆瓣,Note,,#黑幫,
2021,2021-01-29,樂動心旋律 ,CODA,美,10,健听女孩,tt10366460,35048413,K3dSRDBhTXem5t9wSdcMBw,Google,Wiki,IMDb,豆瓣,Note,@瑪麗·麥特琳,#手語 !奧斯卡最佳影片(94),
2021,2021-01-29,人性遊戲,Human Factors,德,6,,tt7904172,34938687,RV318dSUTRy7X_CQYmN8gw,Google,x,IMDb,豆瓣,Note,,,
2021,2021-01-29,花束般的戀愛,Hanataba mitaina koi wo shita,日本,7,她和他的戀愛花期,tt11219254,34874432,--IzgVdpSOOmkfp3erotOg,Google,Wiki,IMDb,豆瓣,Note,,,
2021,2021-01-28,漂浪人生,Flugt,丹麥,8,漂浪人生,tt8430054,30403645,gLqeeiasRKGUfP1iGv0iSA,Google,Wiki,IMDb,豆瓣,Note,,#記錄片 #動畫 #戰爭,
2021,2021-01-18,忍者寶寶,Ninjababy,挪威,8,,tt13821562,35358700,4CKLUA-7S4uDxkeGXCGyrw,Google,x,IMDb,豆瓣,Note,,,
2021,2021-01-14,古寶,The Dig,英,6,考古奪寶,tt3661210,25862300,mgVQhGzyQA6XYSvQx0OnSg,Google,Wiki,IMDb,豆瓣,Note,,#傳記,
2021,2021-01-08,大人的事情,Smartphone wo Nozoitara,日本,5,,tt13863260,35127546,s7oBkFrrRpuKPrf0PScMfw,Google,x,IMDb,豆瓣,Note,,##完美陌生人,
2020,2020-11-30,奧黛麗,Audrey More Than an Icon,美,7,,tt10731386,34780432,jHqjYAG8TOiTmaelBK432g,Google,x,IMDb,豆瓣,Note,,#記錄片 #傳記,
